기관명,의료기관명,주소,전화번호
한의원,자연한의원,부산광역시 금정구 중앙대로1841번길 15 (구서동),051-911-7582
한의원,"행복의원,한의원","부산광역시 금정구 서동로 153, 2층 (서동)",051-522-2900
한의원,바른몸맑은한의원,"부산광역시 금정구 금강로 209, 장전동 4층 (장전동, 한신시티빌)",051-512-6028
한의원,예담한의원,"부산광역시 금정구 중앙대로 1907, 2층 (구서동)",051-514-2580
한의원,우리동네한의원,"부산광역시 금정구 서부로 28, 102호 (서동)",051-526-1075
한의원,명인당한의원,"부산광역시 금정구 중앙대로 1731, 2층 (부곡동)",051-515-8575
한의원,허태율한의원,"부산광역시 금정구 구서로 24, 2층 (구서동, 농협)",051-513-6644
한의원,도원아이열자비한의원,부산광역시 금정구 중앙대로1719번길 13 (부곡동),051-514-1515
한의원,몸편안한의원,"부산광역시 금정구 금강로 396-1, 1층 (구서동)",051-913-7582
한의원,해광한의원,"부산광역시 금정구 중앙대로 1929, 2층 (구서동)",051-517-1075
한의원,풀잎향기한의원,"부산광역시 금정구 서부곡로16번길 74, 1,2층 (부곡동)",051-532-1835
한의원,조생한의원,부산광역시 금정구 금강로 180 (장전동),051-582-5533
한의원,세종한의원,부산광역시 금정구 중앙대로 1893 (구서동),051-581-7582
한의원,동산한의원,"부산광역시 금정구 중앙대로1945번길 12, 2,3층 (구서동)",051-517-0210
한의원,소담한의원,"부산광역시 금정구 부곡로 118, 2층 (부곡동, 동원빌딩)",051-517-7975
한의원,태연한의원,"부산광역시 금정구 부산대학로 10 (부곡동, 부곡대우상가1동 107호)",051-518-0019
한의원,경락한의원,"부산광역시 금정구 수림로 6 (부곡동, SK상가 2층 202호)",051-900-4343
한의원,미로한의원,"부산광역시 금정구 중앙대로1841번길 91, 4층 (구서동, 마루빌딩)",051-581-0124
한의원,백보한의원,부산광역시 금정구 금강로335번길 1 (장전동),051-582-5522
한의원,동안비책한의원,부산광역시 금정구 중앙대로 1617-12 (부곡동),051-518-2323
한의원,우송한의원,부산광역시 금정구 중앙대로 2095 (남산동),051-583-0633
한의원,해은한의원,"부산광역시 금정구 중앙대로 1943, 2층 (구서동, 첨단빌딩)",051-514-1075
한의원,부곡한의원,부산광역시 금정구 부곡로 101 (부곡동),051-513-3232
한의원,코끼리한의원,"부산광역시 금정구 부곡로 122-1, 2층 (부곡동)",051-582-1611
한의원,대평한의원,부산광역시 금정구 서동로141번길 5 (서동),051-529-1075
한의원,온정한의원,"부산광역시 금정구 식물원로39번길 19, 1층 (장전동)",051-583-7325
한의원,창성한의원,부산광역시 금정구 범어천로52번길 6 (남산동),051-516-1075
한의원,서동한의원,부산광역시 금정구 서동중심로 59 (서동),051-522-7582
한의원,당당한의원,"부산광역시 금정구 중앙대로1719번길 37, 4층 (부곡동, 정암빌딩)",051-515-8275
한의원,금정한의원,부산광역시 금정구 부곡로 44 (부곡동),051-514-8875
한의원,한빛한의원,부산광역시 금정구 중앙대로1719번길 22 (부곡동),051-515-3114
한의원,도영한의원,부산광역시 금정구 금강로 565 (구서동),051-513-0855
한의원,예람한의원,부산광역시 금정구 남산로 35 (남산동),051-583-0311
한의원,거북이한의원,"부산광역시 금정구 장전온천천로 65-2, 2층 (장전동)",051-583-8989
한의원,공한의원,"부산광역시 금정구 구서로 2, 2층 (구서동, 정우빌딩)",051-583-8575
한의원,효당한의원,"부산광역시 금정구 부곡로 104, 1층 (부곡동)",051-583-8275
한의원,창해한의원,"부산광역시 금정구 중앙대로1929번길 11, 4층 (구서동, 유림빌딩)",051-583-5445
한의원,오성한의원,"부산광역시 금정구 금정로 86, 2,3층 (장전동)",051-515-1240
한의원,경원한의원,부산광역시 금정구 중앙대로 2029 (남산동),051-517-8384
한의원,수석한의원,부산광역시 금정구 금강로 414 (구서동),051-518-7733
한의원,소림한의원,부산광역시 금정구 서동중심로 60 (서동),051-522-3735
한의원,정성모한의원,부산광역시 금정구 중앙대로 2101 (남산동),051-517-1313
한의원,두실한의원,"부산광역시 금정구 중앙대로 1941, 2층 (구서동)",051-513-7500
한의원,광명한의원,"부산광역시 금정구 금사로 118, 1층 (금사동)",051-532-5324
한의원,해산한의원,부산광역시 금정구 금강로 651-1 (남산동),051-583-1116
한의원,신공한의원,부산광역시 금정구 식물원로40번길 12 (장전동),051-583-1206
한의원,손한의원,부산광역시 금정구 중앙대로 2011 (남산동),051-517-1614
한의원,화창한의원,"부산광역시 금정구 청룡로 52 (청룡동, 상가 102호)",051-508-0604
한의원,김성재한의원,부산광역시 금정구 금강로 436 (구서동),051-516-2782
한의원,한방천지산 이성한한의원,부산광역시 금정구 서동로 159-3 (서동),051-528-7575
한의원,초하한의원,"부산광역시 금정구 중앙대로1945번길 60, 3층 (구서동)",051-518-2388
한의원,송지한의원,부산광역시 금정구 범어천로52번길 1 (남산동),051-517-2895
한의원,국민한의원,부산광역시 금정구 금강로 464 (구서동),051-516-2761
한의원,내성한의원,부산광역시 금정구 부산대학로64번길 135 (장전동),051-517-0121
한의원,송광한의원,부산광역시 금정구 중앙대로 2039 (남산동),051-515-5673
한의원,세림한의원,부산광역시 금정구 서부로 16 (서동),051-521-1011
한의원,대도한의원,부산광역시 금정구 금단로175번길 37 (남산동),051-512-6656
한의원,동경한의원,부산광역시 금정구 금정로 147-1 (장전동),051-513-7595
한의원,보리한의원,부산광역시 금정구 중앙대로 1839 (구서동),051-516-0123
한의원,후생한의원,부산광역시 금정구 서부로 8 (서동),051-527-6633
한의원,동희한의원,부산광역시 금정구 구서로 14 (구서동),051-515-1116
한의원,노현태한의원,"부산광역시 금정구 중앙대로 2013, 2층 (남산동, 길인빌딩)",051-512-8900
한의원,청도한의원,부산광역시 금정구 서동로 129 (서동),051-523-1997
한의원,청도한의원,부산광역시 금정구 서동로 129 (서동),051-523-1997
한의원,제강한의원,"부산광역시 금정구 온천장로 131, 2층 (장전동)",051-582-3412
한의원,대세한의원,"부산광역시 금정구 서부로 6, 1층 (서동)",051-949-0533
한의원,경한의원,"부산광역시 금정구 금정로 7-3, 3층 (장전동)",051-582-1245
