기관명,의료기관명,의료기관주소(도로명),의료기관전화번호
한의원,세경한의원,"부산광역시 연제구 고분로 30, 2층 (연산동)",051-853-4242
의원,보람가정의원,"부산광역시 연제구 연동로 14, 2층 (연산동)",051-852-6900
한의원,필한의원,부산광역시 연제구 과정로 217 (연산동),051-757-5375
의원,이정유내과의원,"부산광역시 연제구 아시아드대로 52, 5층 (거제동)",051-506-6671
한의원,운곡한의원,"부산광역시 연제구 중앙대로 1114 (연산동, 4층 일부)",051-864-2918
치과의원,뉴욕치과의원,"부산광역시 연제구 중앙대로 1114, 5,6층 (연산동)",051-853-6688
한의원,금평한의원,"부산광역시 연제구 월드컵대로 54, 1층 (연산동)",051-868-8777
의원,김기엽마취통증의학과의원,"부산광역시 연제구 중앙대로 1114, 3층 (연산동)",051-863-5575
의원,아름다운피부과의원,"부산광역시 연제구 월드컵대로 128, 4,5층 (연산동)",051-863-0075
의원,백성욱정신건강의학과의원,"부산광역시 연제구 중앙대로 1108, 2층 (연산동)",051-555-3333
의원,민중기외과의원,"부산광역시 연제구 반송로 33 (연산동, 2층 일부)",051-864-7008
치과의원,현대치과의원,"부산광역시 연제구 거제천로 89, 3층 (거제동)",051-861-2828
의원,추정형외과의원,부산광역시 연제구 과정로 86 (연산동),051-756-1175-6
치과의원,연산한겨레치과의원,"부산광역시 연제구 월드컵대로 140, 4층 (연산동)",051-855-2511
의원,김용태내과의원,"부산광역시 연제구 월드컵대로 54, 2층 (연산동)",051-867-1333
한의원,통천한의원,부산광역시 연제구 고분로 21-2 (연산동),051-867-7175
한의원,남궁한의원,부산광역시 연제구 과정로 119 (연산동),051-759-1611
치과의원,정대현치과의원,"부산광역시 연제구 반송로 11, 3층 (연산동)",051-862-1827
보건소,부산 연제구보건소,부산광역시 연제구 연제로 2 (연산동),051-665-4815
치과의원,정혜정치과의원,부산광역시 연제구 반송로 33 (연산동),051-853-5756
의원,배산메디칼의원,"부산광역시 연제구 연수로 216, 1층 (연산동)",051-866-5656
의원,손영광이비인후과의원,"부산광역시 연제구 반송로 8, 4층 (연산동)",051-868-5383
치과의원,연제치과의원,부산광역시 연제구 중앙대로 1040-1 (연산동),051-853-5973
치과의원,중앙부부치과의원,"부산광역시 연제구 아시아드대로 46, 3층 (거제동)",051-503-3888
치과의원,복음치과의원,"부산광역시 연제구 월드컵대로 19 (연산동, 2층 일부)",051-853-5321
의원,조승호내과의원,"부산광역시 연제구 과정로 286-1, 2층 (연산동)",051-866-0051
치과의원,김정희치과의원,"부산광역시 연제구 연수로 201, 2,3층 (연산동)",051-866-8420
치과의원,애지치과의원,"부산광역시 연제구 월드컵대로 122, 3층 (연산동)",051-865-3363
치과의원,옥치과의원,"부산광역시 연제구 중앙대로 1217, 206호 (거제동)",051-502-1245
치과의원,양지치과의원,부산광역시 연제구 온천천남로 4 (연산동),051-864-7799
치과의원,우효경치과의원,부산광역시 연제구 과정로 106 (연산동),051-754-2745
의원,임경수내과의원,"부산광역시 연제구 과정로 114, 2층 (연산동)",051-759-5272
의원,배재용안과의원,부산광역시 연제구 중앙대로 1049 (연산동),051-851-3100
한의원,연동한의원,"부산광역시 연제구 과정로 320, 상가동 201호 (연산동)",051-862-8674
의원,이영주신경정신과의원,"부산광역시 연제구 중앙대로 1050, 3층 (연산동)",051-866-5762
한의원,태인한의원,부산광역시 연제구 연수로 214 (연산동),051-852-0728
치과의원,구원태치과의원,부산광역시 연제구 거제천로87번길 36 (거제동),051-866-5661
치과의원,예인치과의원,"부산광역시 연제구 명륜로 10, 201호 (거제동)",051-504-2888
치과의원,유상열치과의원,"부산광역시 연제구 거제대로 140, 2층 (거제동)",051-866-8866
의원,이정훈이비인후과의원,"부산광역시 연제구 연수로 148, 2층 (연산동)",051-865-5569
한의원,남성한의원,"부산광역시 연제구 고분로 26, 2층 (연산동)",051-865-1570
치과의원,박영환치과의원,"부산광역시 연제구 과정로 102, 3층 (연산동)",051-759-2875
치과의원,권배근치과의원,부산광역시 연제구 중앙대로 1164 (연산동),051-864-7004
한의원,재호한의원,"부산광역시 연제구 중앙대로 1124, 2층 (연산동)",051-868-5353
치과의원,이형철치과의원,부산광역시 연제구 과정로 296 (연산동),051-868-3333
한의원,서라벌한의원,"부산광역시 연제구 중앙대로 1080, 3층 (연산동)",051-861-1587
한의원,삼태극한의원,"부산광역시 연제구 화지로 82, 1~4층 (거제동)",051-867-7575
치과의원,문명희치과의원,부산광역시 연제구 과정로 286 (연산동),051-853-7337
의원,장호선 피부과의원,부산광역시 연제구 연수로 161 (연산동),051-868-2727
의원,연산내과의원,"부산광역시 연제구 월드컵대로 9, 2층 (연산동)",051-866-0688
치과의원,거제치과의원,"부산광역시 연제구 아시아드대로 60, 2층 (거제동, 상신빌딩)",051-503-0555
한의원,보윤한의원,"부산광역시 연제구 거제천로87번길 20, 2층 (거제동)",051-861-2201
치과의원,장경선치과의원,부산광역시 연제구 고분로 28 (연산동),051-19890117
의원,이완주정형외과의원,"부산광역시 연제구 연수로 179, 상가102동 201,202호 (연산동, IU-파크)",051-862-2104
치과의원,박기백치과의원,"부산광역시 연제구 월드컵대로 3, 3층 (연산동)",051-868-2323
한의원,애일한의원,부산광역시 연제구 과정로 175-1 (연산동),051-757-0044
치과의원,김희정치과의원,"부산광역시 연제구 과정로 217, 3층 (연산동)",051-759-8363
의원,김두경내과의원,"부산광역시 연제구 과정로 212, 6,7층 (연산동)",051-759-2433
의원,부광의원,부산광역시 연제구 거제대로 170 (거제동),051-865-5113
한의원,정양삼한의원,부산광역시 연제구 신촌로 45-1 (거제동),051-866-5301
치과의원,거제한겨레치과의원,부산광역시 연제구 거제대로 162 (거제동),051-868-7379
의원,김경이이비인후과의원,"부산광역시 연제구 월드컵대로 142, 2,3층 (연산동)",051-861-2244
한의원,경주삼성한의원,부산광역시 연제구 월드컵대로 23 (연산동),051-861-5458
의원,김소아청소년과의원,부산광역시 연제구 해맞이로 109 (거제동),051-503-2662
의원,김성규내과의원,부산광역시 연제구 연수로 165 (연산동),051-865-7575
한의원,문화한의원,부산광역시 연제구 연수로 231 (연산동),051-864-9424
치과의원,이석행치과의원,부산광역시 연제구 중앙대로 1201 (거제동),051-505-3311
의원,한희진산부인과의원,"부산광역시 연제구 과정로 193, 2층 (연산동)",051-753-9956
의원,강남의원,부산광역시 연제구 연수로 224 (연산동),051-868-5397
치과의원,동래중앙치과의원,"부산광역시 연제구 중앙대로 1108, 2층 (연산동)",051-865-3006
치과의원,지현치과의원,부산광역시 연제구 과정로 224 (연산동),051-756-2879
치과의원,김태준치과의원,"부산광역시 연제구 과정로 148, 6층 (연산동)",051-759-0888
의원,정부권소아청소년과의원,부산광역시 연제구 과정로 119 (연산동),051-758-5888
한의원,동빈한의원,"부산광역시 연제구 과정로 139, 2층 (연산동)",051-758-0058
의원,박무정의원,"부산광역시 연제구 월드컵대로 241, 2~3층 (거제동)",051-504-9813
치과의원,이동근치과의원,부산광역시 연제구 연수로 217 (연산동),051-863-1300
의원,박병엽내과의원,부산광역시 연제구 거제대로 158 (거제동),051-852-5161
의원,유경희소아청소년과의원,부산광역시 연제구 고분로 25-1 (연산동),051-863-7555
의원,황원규소아청소년과의원,부산광역시 연제구 월드컵대로 5 (연산동),051-864-1888
의원,박수연외과의원,부산광역시 연제구 과정로 336 (연산동),051-852-8346
의원,박내과의원,부산광역시 연제구 거제천로87번길 40 (거제동),051-864-5541
