기관명,의료기관명,의료기관주소(도로명),의료기관전화번호
한의원,조한의원,"부산광역시 수영구 광안로 4 (광안동, 광안동에스케이뷰)",051-761-0014
한의원,자인한의원,부산광역시 수영구 수영로 585 (광안동),051-751-9955
한의원,강남한의원,부산광역시 수영구 수영로725번길 32 (수영동),051-758-2266
한의원,지성한의원,부산광역시 수영구 수영로741번길 9 (수영동),051-751-0148
한의원,원창한의원,부산광역시 수영구 수영로 600 (광안동),051-752-0503
한의원,한겨레한의원,부산광역시 수영구 연수로 274 (망미동),051-751-8878
한의원,일광 한의원,부산광역시 수영구 광남로 126 (광안동),051-757-3800
한의원,광혜한의원,부산광역시 수영구 수영로 592 (광안동),051-758-2000
한의원,김효건한의원,부산광역시 수영구 수영로 565 (광안동),051-757-1700
한의원,광진 한의원,부산광역시 수영구 무학로9번길 15 (광안동),051-757-8818
한의원,배정엽 한의원,부산광역시 수영구 남천동로108번길 16 (남천동),051-626-0027
한의원,경대 한의원,부산광역시 수영구 연수로416번길 2 (광안동),051-754-7733
한의원,예가 한의원,부산광역시 수영구 연수로 374-1 (광안동),051-751-2828
한의원,남천 한의원,부산광역시 수영구 수영로464번길 6 (남천동),051-622-7691
한의원,고한의원,부산광역시 수영구 남천동로 11 (남천동),051-623-1198
한의원,세방 한의원,부산광역시 수영구 연수로 415 (수영동),051-751-1145
한의원,수영한의원,부산광역시 수영구 연수로 350 (광안동),051-752-1511
